Filename,Barcode,Barcode,Family,Subfamily,Genus,Species,Genus_species,Collection Date,Collection Date,Country,State or Province,County,City,Locality,Latitude,Longitude,Image Source,Notes,Brightness Mean,Brightness Median,Brightness Standard Deviation,bee_surface area,hair_surface_area,pilosity,pilosity_percentage
SM0430292_Townsendiella_pulchra_F_hal_65_4x.jpg,SM0430292,430292,Apidae,Nomadinae,Townsendiella,pulchra,Townsendiella_pulchra,4/23/98,4/23/98,NA,NA,NA,NA,NA,32.25,-110.8833333,KU,NA,107.4214096,109,57.9740181,3891337,2126396,54.64%,54.64
SM0430906_Epicharis_elegans_F_hal_65_1x.jpg,SM0430906,430906,Apidae,Apinae,Epicharis,elegans,Epicharis_elegans,8/29/72,8/29/72,Mexico,NA,NA,Puebla,Petlalcingo,19,-98.2,KU,NA,75.39646149,46,74.40892792,5166075,1857543,35.96%,35.96
SM0432162_Syntrichalonia_fuliginea_F_hal_65_1x.jpg,SM0432162,432162,Apidae,Apinae,Syntrichalonia,fuliginea,Syntrichalonia_fuliginea,11/26/90,11/26/90,Mexico,Mexico,NA,Chalma,NA,18.9,-99.4,KU,NA,92.59577942,82,65.50977325,3365701,1902136,56.52%,56.52
SM0435572_Anthidiellum_perplexum_F_Hal_65_2x.jpg,SM0435572,435572,Megachilidae,Megachilinae,Anthidiellum,perplexum,Anthidiellum_perplexum,7/15/51,7/15/51,NA,NA,NA,NA,NA,34.0368,-77.8981,KU,NA,106.6190338,97,71.44351196,5167667,3155672,61.07%,61.07
SM0442380_Tetraloniella_salviae_F_hal_65_2x.jpg,SM0442380,442380,Apidae,Apinae,Tetraloniella,salviae,Tetraloniella_salviae,10/30/87,10/30/87,Mexico,Michoacan,NA,Los Sabinos,NA,19.1,-102,KU,NA,81.05338287,67,62.29912567,5397859,2352065,43.57%,43.57
SM0444056_Plebeia_fulvopilosa_F_hal_65_3x.jpg,SM0444056,444056,Apidae,Apinae,Plebeia,fulvopilosa,Plebeia_fulvopilosa,2/19/91,2/19/91,Mexico,Oaxaca,NA,Tuxtepec-Oaxaca,NA,18.1,-96.1,KU,NA,80.47214508,67,60.82025909,3155137,1304025,41.33%,41.33
SM0460792_Atoposmia_hypostomalis_F_hal_65_3x.jpg,SM0460792,460792,Megachilidae,Megachilinae,Atoposmia,hypostomalis,Atoposmia_hypostomalis,4/11/50,4/11/50,USA,California,NA,Riverside,Palm Desert,34,-117,KU,NA,79.97944641,73,55.13077545,6645565,2567015,38.63%,38.63
SM0475395_Hesperapis_larreae_F_hal_65_2x.jpg,SM0475395,475395,Melittidae,Dasypodainae,Hesperapis,larreae,Hesperapis_larreae,4/8/98,4/8/98,USA,Arizona,Pima,NA,NA,32.9,-110,KU,NA,93.06254578,80,70.05166626,2003701,952884,47.56%,47.56
SM0484291_Holcopasites_arizonicus_F_hal_65_3x.jpg,SM0484291,484291,Apidae,Nomadinae,Holcopasites,arizonicus,Holcopasites_arizonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,63.51755905,49,51.07509613,3956777,1075194,27.17%,27.17
SM0484309_Neolarra_verbesinae_F_hal_65_4x.jpg,SM0484309,484309,Apidae,Nomadinae,Neolarra,verbesinae,Neolarra_verbesinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,93.14148712,85,55.24861908,3193563,1265955,39.64%,39.64
SM0498087_Rhopalolemma_rotundiceps_F_hal_65_4x.jpg,SM0498087,498087,Apidae,Nomadinae,Rhopalolemma,rotundiceps,Rhopalolemma_rotundiceps,3/26/95,3/26/95,NA,NA,NA,NA,NA,33.59861,-112.0297,KU,NA,71.90563965,63,49.75288391,4747950,1621408,34.15%,34.15
SM0499660_Toromelissa_nemaglossa_F_hal_65_3x.jpg,SM0499660,499660,Apidae,Xylocopinae,Toromelissa,nemaglossa,Toromelissa_nemaglossa,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,116.3668976,116,71.02475739,6756030,4374897,64.76%,64.76
SM0499908_Cemolobus_ipomoeae_F_hal_65_2x.jpg,SM0499908,499908,Apidae,Apinae,Cemolobus,ipomoeae,Cemolobus_ipomoeae,8/6/51,8/6/51,NA,NA,NA,NA,NA,37.5579,-92.5089,KU,NA,101.2129898,94,64.72219086,9524895,5728336,60.14%,60.14
SM0500164_Martinapis_occidentalis_F_hal_65_2x.jpg,SM0500164,500164,Apidae,Apinae,Martinapis,occidentalis,Martinapis_occidentalis,9/28/87,9/28/87,NA,NA,NA,NA,NA,32.78306,-114.7964,KU,NA,102.7391052,99,60.99698257,8930500,5503834,61.63%,61.63
SM0500914_Thygater_micheneri_F_hal_65_2x.jpg,SM0500914,500914,Apidae,Apinae,Thygater,micheneri,Thygater_micheneri,8/22/54,8/22/54,NA,NA,NA,NA,NA,22.44681,-99.56705,KU,NA,71.22332764,57,56.32566071,6948529,2071824,29.82%,29.82
SM0501404_Chilimalopsis_parvula_F_hal_65_4x.jpg,SM0501404,501404,Apidae,Apinae,Chilimalopsis,parvula,Chilimalopsis_parvula,10/31/94,10/31/94,NA,NA,NA,NA,NA,-31.2,-71.0166667,KU,NA,84.92464447,76,54.55574417,4046320,1668122,41.23%,41.23
SM0501414_Eremapis_parvula_F_hal_65_4x.jpg,SM0501414,501414,Apidae,Apinae,Eremapis,parvula,Eremapis_parvula,NA,NA,NA,NA,NA,NA,NA,NA,NA,KU,NA,82.75052643,68,61.36991501,2979597,1157736,38.86%,38.86
SM0504569_Eufriesea_caerulescens_F_hal_65_1x.jpg,SM0504569,504569,Apidae,Apinae,Eufriesea,caerulescens,Eufriesea_caerulescens,7/23/62,7/23/62,NA,NA,NA,NA,NA,22.48947,-99.47378,KU,NA,44.85586166,26,50.31791687,3150257,298394,9.47%,9.47
SM0504762_Eulaema_polychroma_F_hal_65_1x.jpg,SM0504762,504762,Apidae,Apinae,Eulaema,polychroma,Eulaema_polychroma,7/4/63,7/4/63,NA,NA,NA,NA,NA,9.66667,-84,KU,NA,63.7326622,44,59.55952835,6571625,1977036,30.08%,30.08
SM0504806_Lestrimelitta_chamelensis_F_hal_65_3x.jpg,SM0504806,504806,Apidae,Apinae,Lestrimelitta,chamelensis,Lestrimelitta_chamelensis,7/20/53,7/20/53,Mexico,Nayarit,NA,Rosamorado,NA,22.1,-105,KU,NA,84.01267242,71,62.60739136,3136827,1267462,40.41%,40.41
SM0505089_Cephalotrigona_zexmeniae_F_hal_65_2x.jpg,SM0505089,505089,Apidae,Apinae,Cephalotrigona,zexmeniae,Cephalotrigona_zexmeniae,3/16/78,3/16/78,Mexico,Yucatan,NA,Yaxcaba,NA,20.5,-88.8,KU,NA,80.97483063,64,65.41165161,2850725,1260786,44.23%,44.23
SM0528806_Ceratalictus_allostictus_F_hal_65_4x.jpg,SM0528806,528806,Halictidae,Halictinae,Ceratalictus,allostictus,Ceratalictus_allostictus,11/2/02,11/2/02,NA,NA,NA,NA,NA,-17.4991667,-63.5525,KU,NA,79.68545532,67,58.18595123,3668957,1228004,33.47%,33.47
SM0529714_Mesoxaea_nigerrima_F_hal_65_1x.jpg,SM0529714,529714,Andrenidae,Oxaeinae,Mesoxaea,nigerrima,Mesoxaea_nigerrima,7/7/53,7/7/53,Mexico,Oaxaca,NA,El Camaron,NA,16.6,-96,KU,NA,63.73765945,43,60.78002167,3914724,1033707,26.41%,26.41
SM0529759_Protoxaea_australis_F_hal_65_1x.jpg,SM0529759,529759,Andrenidae,Oxaeinae,Protoxaea,australis,Protoxaea_australis,8/5/63,8/5/63,Mexico,Guerrero,NA,Rio Balsas,NA,18.4,-100,KU,NA,100.9975052,90,70.60736084,3419220,1999503,58.48%,58.48
SM0534026_Dinagapostemon_uyacanus_F_hal_65_2x.jpg,SM0534026,534026,Halictidae,Halictinae,Dinagapostemon,uyacanus,Dinagapostemon_uyacanus,6/2/02,6/2/02,NA,NA,NA,NA,NA,11.841667,-85.9805556,KU,NA,53.2808342,43,43.2774353,7415978,1191396,16.07%,16.07
